CPM_ID	Chinese_patent_medicine	Pinyin_term	Routes_of_administration
CPM03089	黄芩茎叶解毒胶囊	Huangqin Jingye Jiedu Jiaonang	Oral
CPM03090	黄芩片	Huanqin Pian	Oral
CPM03091	黄芩素铝胶囊	Huangqinsulv Jiaonang	Oral
CPM03092	黄升丹	Huangsheng Dan	Topical
CPM03093	黄石感冒片	Huangshi Ganmao Pian	Oral
CPM03094	黄氏响声茶	Huangshi Xiangsheng Cha	Oral
CPM03095	黄氏响声含片	Huangshi Xiangsheng Hanpian	Oral
CPM03096	黄氏响声丸	Huangshi Xiangsheng Wan（Tanyi Nongsuoshuiwan）	Oral
CPM03097	黄水疮散	Huangshuichuang San	Topical
CPM03098	黄香颗粒	Huangxiang Keli	Oral
CPM03099	黄萱益肝散	Huangxuan Yigan San	Oral
CPM03100	黄萱益肝丸	Huangxuan Yigan Wan	Oral
CPM03101	黄杨宁片	Huangyangning Pian	Oral
CPM03102	黄英咳喘糖浆	Huangying Kechuan Tangjiang	Oral
CPM03103	黄枣颗粒	Huangzao Keli	Oral
CPM03104	黄栀花口服液	Huangzhihua Koufuye	Oral
CPM03105	黄蛭益肾胶囊	Huangzhi Yishen Jiaonang	Oral
CPM03106	回春丹	Huichun Dan	Oral
CPM03107	回春胶囊	Huichun Jiaonang	Oral
CPM03108	回春酒	Huichun Jiu	Oral
CPM03109	回春如意胶囊	Huichun Ruyi Jiaonang	Oral
CPM03110	回春散	Huichun San	Oral
CPM03111	回生第一丹胶囊	Huisheng Diyidan Jiaonang	Oral
CPM03112	回生第一丹丸	Huisheng Diyidan Wan	Oral
CPM03113	回生第一散	Huisheng Diyi San	Oral
CPM03114	回生甘露丸	Huisheng Ganlu Wan	Oral
CPM03115	回生口服液	Huisheng Koufuye	Oral
CPM03116	回生再造丸	Huisheng Zaizao Wan	Oral
CPM03117	回天再造丸	Huitian Zaizao Wan	Oral
CPM03118	回心康片	Huixinkang Pian	Oral
CPM03119	茴香橘核丸	Huixiang Juhe Wan	Oral
CPM03120	惠血生胶囊	Huixuesheng Jiaonang	Oral
CPM03121	惠血生片	Huixuesheng Pian	Oral
CPM03122	混元丸	Hunyuan Wan	Oral
CPM03123	活力苏口服液	Huolisu Koufuye	Oral
CPM03124	活力源胶囊	Huoliyuan Jiaonang	Oral
CPM03125	活力源口服液	Huoliyuan Koufuye	Oral
CPM03126	活力源片	Huoliyuan Pian	Oral
CPM03127	活络酊	Huoluo Ding	Topical
CPM03128	活络健身液	Huoluo Jianshen Ye	Oral
CPM03129	活络通口服液	Huoluotong Koufuye	Oral
CPM03130	活络消痛胶囊	Huoluo Xiaotong Jiaonang	Oral
CPM03131	活络消痛片	Huoluo Xiaotong Pian	Oral
CPM03132	活络油	Huoluo You	Topical
CPM03133	活络镇痛片	Huoluo Zhentong Pian	Oral
CPM03134	活络止痛丸	Huoluo Zhitong Wan	Oral
CPM03135	活胃胶囊	Huowei Jiaonang	Oral
CPM03136	活胃散	Huowei San	Topical
CPM03137	活心丸	Huoxin wan（Nongsuowan）	Oral
CPM03138	活血调经丸	Huoxue Tiaojing Wan	Oral
CPM03139	活血跌打丸	Huoxue Dieda Wan	Oral
CPM03140	活血风寒膏	Huo Xue Feng Han Gao	Topical
CPM03141	活血健骨片	Huoxue Jiangu Pian	Oral
CPM03142	活血降浊口服液	Huoxue Jiangzhuo Koufuye	Oral
CPM03143	活血胶囊	Huoxue Jiaonang	Oral
CPM03144	活血接骨散	Huoxue Jiegu San	Topical
CPM03145	活血解毒丸	Huoxue Jiedu Wan	Oral
CPM03146	活血解痛膏	Huoxue Jietong Gao	Topical
CPM03147	活血理伤丸	Huoxue Lishang Wan	Oral
CPM03148	活血舒筋酊	Huoxue Shujin Ding	Oral
CPM03149	活血通脉胶囊	Huoxue Tongmai Jiaonang	Oral
CPM03150	活血通脉片	Huoxue Tongmai Pian	Oral
CPM03151	活血消痛酊	Huoxue Xiaotong Ding	Topical
CPM03152	活血消炎丸	Huoxue Xiaoyan Wan	Oral
