CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP05723	棕榈子		zong lv zi	Trachycarpus fortunei	Viridiplantae
CHP05724	棕树心		zong shu xin	Trachycarpus fortunei	Viridiplantae
CHP05725	棕叶芦		zong ye lu	Thysanolaena latifolia	Viridiplantae
CHP05726	棕叶七		zong ye qi	Calanthe alismifolia	Viridiplantae
CHP05727	棕竹		zong zhu	Rhapis excelsa	Viridiplantae
CHP05728	棕竹根		zong zhu gen	Rhapis excelsa	Viridiplantae
CHP05729	总状绿绒蒿	雪参|总序绿绒蒿|多刺绿绒蒿	zong zhuang lv rong hao	Meconopsis horridula	Viridiplantae
CHP05730	总状升麻		zong zhuang sheng ma	Racemose Bugbane	Viridiplantae
CHP05731	总状土木香		zong zhuang tu mu xiang	Racemose Inula	Viridiplantae
CHP05732	走茎丹参		zou jing dan shen	Salvia substolonifera	Viridiplantae
CHP05733	走马风		zou ma feng	Blumea laciniata	Viridiplantae
CHP05734	走马芹		zou ma qin	Paucivitat Cowparsnip	Viridiplantae
CHP05735	走马胎		zou ma tai	Ardisia gigantifolia	Viridiplantae
CHP05736	走马胎叶		zou ma tai ye	Ardisia gigantifolia	Viridiplantae
CHP05737	祖师麻	祖司麻	zu shi ma	Daphne retusa	Viridiplantae
CHP05738	钻地风		zuan di feng	Hydrangea ampla	Viridiplantae
CHP05739	醉魂藤		zui hun teng	Heterostemma alatum	Viridiplantae
CHP05740	醉马草		zui ma cao	Oxytropis glabra	Viridiplantae
CHP05741	醉鱼草		zui yu cao	Buddleja lindleyana	Viridiplantae
CHP05742	醉鱼草花		zui yu cao hua	Buddleja lindleyana	Viridiplantae
CHP05743	醉针茅		zui zhen mao	Achnatherum inebrians	Viridiplantae
CHP05744	醉针茅根	药老	zui zhen mao gen	Achnatherum inebrians	Viridiplantae
CHP05745	酢浆草	酢酱草	cu jiang cao	Creeping Oxalis	Viridiplantae
CHP05746	阿胶	阿胶珠|阿胶液|驴皮	e jiao	Donkey hide gelatin	Metazoa
CHP05747	白丁香		bai ding xiang	Passer montanus	Metazoa
CHP05748	白粉蝶		bai fen die	Pieris rapae	Metazoa
CHP05749	白螺蛳壳		bai luo si ke	Bellamya quadrata	Metazoa
CHP05750	白鹇		bai xian	Lophura nycthemera	Metazoa
CHP05751	白鱼		bai yu	Erythroculter ilishaeformis	Metazoa
CHP05752	百花锦蛇		bai hua jin she	Elaphe moellendorffi	Metazoa
CHP05753	斑鸠		ban jiu	Rufous Turtle Dove	Metazoa
CHP05754	斑蝥	斑蟊|斑螫	ban mao	Mylabris	Metazoa
CHP05755	蚌粉		bang fen	Cristaria plicata	Metazoa
CHP05756	蚌泪		bang lei	Cristaria plicata	Metazoa
CHP05757	蚌肉	蚌	bang rou	Cristaria plicata	Metazoa
CHP05758	豹骨	豹骨汁	bao gu	Os Pardi	Metazoa
CHP05759	贝齿		bei chi	Monetaria moneta	Metazoa
CHP05760	贝子		bei zi	Monetaria moneta	Metazoa
CHP05761	壁虎		bi hu	Gekko japonicus	Metazoa
CHP05762	壁钱		bi qian	Uroctea compactilis	Metazoa
CHP05763	鷩雉		bi zhi	Chrysolophus pictus	Metazoa
CHP05764	蝙蝠		bian fu	Murina leucogaster	Metazoa
CHP05765	鳖胆		bie dan	Trionyx sinensis	Metazoa
CHP05766	鳖甲	醋鳖甲|鳖甲胶|鳖	bie jia	Turtle Shell	Metazoa
CHP05767	鳖卵		bie luan	Trionyx sinensis	Metazoa
CHP05768	鳖肉		bie rou	Trionyx sinensis	Metazoa
CHP05769	鳖头		bie tou	Trionyx sinensis	Metazoa
CHP05770	鳖血		bie xue	Trionyx sinensis	Metazoa
CHP05771	鳖脂		bie zhi	Trionyx sinensis	Metazoa
CHP05772	蚕蛾	蚕蛾油|原蚕蛾|蚕蛾渣	can e	Silkworm	Metazoa
CHP05773	蚕蜕	蚕退纸	can tui	Bombyx mori	Metazoa
CHP05774	蚕蛹	蚕茧	can yong	Bombyx mori	Metazoa
CHP05775	草蜘蛛		cao zhi zhu	Agelena labyrinthica	Metazoa
CHP05776	豺皮		chai pi	Cuon alpinus	Metazoa
CHP05777	豺肉		chai rou	Cuon alpinus	Metazoa
CHP05778	蝉蜕	蝉脱	chan tui	Cicada Slough	Metazoa
CHP05779	蟾蜍		chan chu	Toad	Metazoa
CHP05780	蟾皮	蟾干皮|干蟾皮	chan pi	Toad Skin	Metazoa
CHP05781	蟾舌		chan she	Bufo bufo gargarizans	Metazoa
CHP05782	蟾酥	制蟾酥	chan su	Venenum Bufonis	Metazoa
CHP05783	蟾头		chan tou	Bufo bufo gargarizans	Metazoa
CHP05784	车螯		che ao	Hippopus hippopus	Metazoa
CHP05785	砗磲		che qu	Tridacna squamosa	Metazoa
CHP05786	陈火腿骨		chen huo tui gu	Sus scrofa domestica	Metazoa
CHP05787	鸱骨		chi gu	Circus cyaneus	Metazoa
CHP05788	鸱肉		chi rou	Circus cyaneus	Metazoa
CHP05789	鸱头		chi tou	Circus cyaneus	Metazoa
CHP05790	虫白蜡		chong bai la	Cera Chinensis Wax	Metazoa
CHP05791	穿山甲	炮山甲|醋山甲	chuan shan jia	Squama Manitis	Metazoa
CHP05792	刺猬皮		ci wei pi	Hedgedog Skin	Metazoa
CHP05793	玳瑁		dai mao	Carapax Eretmochelydis	Metazoa
CHP05794	淡菜		dan cai	Mytilus edulis	Metazoa
CHP05795	地龙	鲜地龙|广地龙|蚯蚓	di long	Earthworm	Metazoa
CHP05796	灯心柳珊瑚	越王余筭	deng xin liu shan hu	Junceella juncea	Metazoa
CHP05797	鸐雉		di zhi	Syrmaticus reevesii	Metazoa
CHP05798	东北鼢鼠		dong bei fen shu	Myospalax psilurus	Metazoa
CHP05799	鹅		e	Anser cygnoides orientalis	Metazoa
CHP05800	鹅臎		e cui	Anser cygnoides orientalis	Metazoa
CHP05801	鹅胆		e dan	Anser cygnoides orientalis	Metazoa
CHP05802	鹅毛		e mao	Anser cygnoides orientalis	Metazoa
CHP05803	蜂毒		feng du	Apisin	Metazoa
CHP05804	蜂房		feng fang	Nidus Vespae	Metazoa
CHP05805	蜂胶		feng jiao	Propolis	Metazoa
CHP05806	蜂蜡		feng la	Beeswax	Metazoa
CHP05807	蜂蜜	蜂乳	feng mi	Mel	Metazoa
CHP05808	凤凰衣		feng huang yi	Gallus gallus domesticus	Metazoa
CHP05809	凫羽		fu yu	Anas platyrhynchos	Metazoa
CHP05810	蝮蛇		fu she	Agkistrodon halys	Metazoa
CHP05811	蝮蛇胆		fu she dan	Agkistrodon halys	Metazoa
CHP05812	蝮蛇骨		fu she gu	Agkistrodon halys	Metazoa
CHP05813	蝮蛇蜕皮		fu she tui pi	Agkistrodon halys	Metazoa
CHP05814	蝮蛇脂		fu she zhi	Agkistrodon halys	Metazoa
CHP05815	干蟾		gan chan	Bufo bufo gargarizans	Metazoa
CHP05816	葛上亭长		ge shang ting zhang	Epicauta gorhami	Metazoa
CHP05817	公鱼		gong yu	Schizothorax yunnanensis	Metazoa
CHP05818	狗宝		gou bao	Canis familiaris	Metazoa
CHP05819	狗胆		gou dan	Canis familiaris	Metazoa
CHP05820	狗肝		gou gan	Canis familiaris	Metazoa
CHP05821	狗骨		gou gu	Canis lupus	Metazoa
CHP05822	狗母鱼		gou mu yu	Trachinocephalus myops	Metazoa
CHP05823	狗脑		gou nao	Canis familiaris	Metazoa
